company,week_start,orders,canceled,total_qty,gmv_idr,cod_orders,jubelio_shipment_orders,orders_shopee,orders_tokopedia,orders_lazada,orders_other
Company_B,2025-10-20,47878,4279,62526,9189631144,25457,320,15973,30187,1158,560
Company_B,2025-10-27,63772,4883,76198,12432727460,33723,359,16583,45655,948,586
Company_B,2025-11-03,75587,5580,80604,14562953869,39749,323,19560,53560,1926,541
Company_B,2025-11-10,94997,5705,138569,17463247427,47179,299,35933,51301,7211,552
Company_B,2025-11-17,58400,3212,62703,10904386217,31148,382,23197,33798,673,732
Company_B,2025-11-24,82406,4830,110969,15409855221,39729,341,39125,40550,2164,567
Company_B,2025-12-01,89568,7962,125324,16657692441,40563,418,41750,46106,974,738
Company_B,2025-12-08,142861,15443,204854,26740562205,71736,420,51351,82326,8421,763
Company_B,2025-12-15,63459,4463,67942,12180879923,32528,401,20733,40395,1531,800
Company_B,2025-12-22,96349,7883,120431,17963519149,51726,256,29331,64321,2113,584
Company_B,2025-12-29,45787,2621,57649,8586493298,22806,157,23233,20662,1556,336
Company_C,2024-01-01,23698,139,61418,1594611122,13007,0,17238,2123,4331,6
Company_C,2024-01-08,20537,109,56281,1437382113,11536,0,14932,1863,3733,9
Company_C,2024-01-15,19463,126,53731,1377653866,11131,0,13581,2238,3636,8
Company_C,2024-01-22,21588,149,59530,1500896943,12268,0,14950,3132,3499,7
Company_C,2024-01-29,29096,165,75568,1936865711,15358,0,20884,4212,3994,6
Company_C,2024-02-05,20668,151,55805,1459960960,11752,0,14000,2724,3932,12
Company_C,2024-02-12,21865,131,60295,1515064742,12879,0,15403,2689,3761,12
Company_C,2024-02-19,24940,127,71031,1679652239,13461,0,18599,2378,3958,5
Company_C,2024-02-26,30206,155,82297,2026288904,12847,0,23115,2628,4459,4
Company_C,2024-03-04,30163,159,78138,1934016592,17756,0,23880,2396,3878,9
Company_C,2024-03-11,26358,205,69771,1767932645,14642,0,19578,2741,4029,10
Company_C,2024-03-18,31405,268,75205,2016273549,16989,0,23845,3239,4310,11
Company_C,2024-03-25,42047,442,92337,2572492078,22291,0,32589,4253,5194,11
Company_C,2024-04-01,34813,383,78587,2130574274,18018,0,27508,3430,3866,9
Company_C,2024-04-08,19863,391,46622,1323964395,12019,0,14968,2130,2763,2
Company_C,2024-04-15,30824,220,78232,2113886649,17520,0,24753,2524,3542,5
Company_C,2024-04-22,29863,179,79895,2008348774,15908,0,24089,2087,3679,8
Company_C,2024-04-29,39471,266,112904,2509769784,19915,0,30238,2960,6262,11
Company_C,2024-05-06,26589,290,66271,1713095796,14615,0,19895,3246,3440,8
Company_C,2024-05-13,25329,404,63788,1676441397,14070,0,18417,4148,2758,6
Company_C,2024-05-20,25673,371,63968,1692984678,13488,0,18847,4057,2760,9
Company_C,2024-05-27,25397,365,61788,1668315234,13416,0,18645,3665,3080,7
Company_C,2024-06-03,32998,378,77989,2041874744,16902,0,25165,4084,3743,6
Company_C,2024-06-10,23854,320,57599,1547244563,13175,0,17843,3342,2665,4
Company_C,2024-06-17,21474,291,50973,1384980346,11961,0,15890,3327,2252,5
Company_C,2024-06-24,28392,346,66584,1787792210,14953,0,21497,4347,2541,7
Company_C,2024-07-01,32996,320,75779,2060936533,15863,0,26271,4048,2672,5
Company_C,2024-07-08,25115,284,58374,1544724005,13561,0,18889,3479,2741,6
Company_C,2024-07-15,25640,340,60977,1542770408,14324,0,19267,3648,2714,11
Company_C,2024-07-22,28778,352,67045,1802680147,15258,0,21649,4290,2835,4
Company_C,2024-07-29,30669,397,71203,1956768651,16006,0,22964,4792,2908,5
Company_C,2024-08-05,35856,387,81312,2276807282,17548,0,27604,5148,3097,7
Company_C,2024-08-12,27477,408,64094,1803870678,14857,0,19922,4597,2954,4
Company_C,2024-08-19,30702,497,69240,1838625857,17308,0,21908,6248,2542,4
Company_C,2024-08-26,34093,591,74230,1958626227,19470,0,23249,8302,2536,6
Company_C,2024-09-02,36955,636,78661,2034063572,20789,0,24072,10060,2813,10
Company_C,2024-09-09,34880,553,77500,1981560644,19406,0,22960,8962,2951,7
Company_C,2024-09-16,26032,474,56700,1523323883,15086,0,16384,7404,2237,7
Company_C,2024-09-23,31537,596,67717,1773668536,17875,0,19733,9438,2358,8
Company_C,2024-09-30,31761,687,69182,1829858219,17657,0,18596,10662,2499,4
Company_C,2024-10-07,33722,562,72743,1960232744,17758,0,22321,8633,2761,7
Company_C,2024-10-14,23635,395,50672,1358695611,13055,0,15780,5436,2416,3
Company_C,2024-10-21,25598,388,55785,1443908217,13842,0,17325,5816,2456,1
Company_C,2024-10-28,28432,529,62361,1684924651,15032,0,18622,7232,2574,4
Company_C,2024-11-04,30277,624,64794,1697191097,15207,0,20127,7555,2590,5
Company_C,2024-11-11,31225,549,68799,1778911103,16283,0,20787,7174,3260,4
Company_C,2024-11-18,25124,565,58550,1479953384,13636,0,16018,6961,2140,5
Company_C,2024-11-25,30816,703,68833,1781202900,15633,0,21541,7004,2268,3
Company_C,2024-12-02,30610,829,71939,1777226611,15872,0,20979,7440,2187,4
Company_C,2024-12-09,41687,869,93486,2298242084,21300,0,30742,8460,2480,5
Company_C,2024-12-16,27115,800,57535,1526732938,14845,0,17440,8200,1469,6
Company_C,2024-12-23,30027,883,65464,1658329708,15875,0,19456,8983,1585,3
Company_C,2024-12-30,34293,904,74430,1844299970,17533,0,23412,9294,1584,3
Company_C,2025-01-06,27853,778,59267,1468485948,14598,0,17351,9115,1383,4
Company_C,2025-01-13,24444,766,55695,1374646922,13162,0,15334,7891,1211,8
Company_C,2025-01-20,27990,701,64514,1523476150,13750,0,20196,6621,1168,5
Company_C,2025-01-27,32121,698,74223,1749728698,15636,0,24984,6119,1013,5
Company_C,2025-02-03,25230,596,56232,1295048957,12401,0,19078,5029,1120,3
Company_C,2025-02-10,23162,538,51182,1216156490,12098,0,17418,4806,930,8
Company_C,2025-02-17,22626,561,53496,1199088201,11538,0,16757,4979,883,7
Company_C,2025-02-24,29734,700,67674,1638889438,14199,0,22194,6619,914,7
Company_C,2025-03-03,29397,688,63753,1604291800,14652,0,21561,6912,917,7
Company_C,2025-03-10,30686,761,67015,1689320246,16122,0,21398,8406,866,16
Company_C,2025-03-17,32616,782,68164,1730022021,16894,0,22866,8789,943,18
Company_C,2025-03-24,21657,627,45874,1134506186,11024,0,15930,5193,530,4
Company_C,2025-03-31,27921,1805,60933,1558603733,15329,0,19233,7974,714,0
Company_C,2025-04-07,30295,893,66619,1659372696,16891,0,18945,10645,699,6
Company_C,2025-04-14,27563,769,62392,1531242936,14697,0,18850,8091,592,30
Company_C,2025-04-21,27145,761,61107,1497668423,14427,0,18443,8034,647,21
Company_C,2025-04-28,27941,918,61964,1570796807,14479,0,18914,8436,582,9
Company_C,2025-05-05,27727,875,60555,1510884498,14829,0,19471,7622,625,9
Company_C,2025-05-12,24343,829,52293,1335205250,14198,0,16031,7722,586,4
Company_C,2025-05-19,26317,1001,57397,1431997587,14783,0,16917,8855,535,10
Company_C,2025-05-26,25012,934,54286,1396072177,14300,0,16229,8095,674,14
Company_C,2025-06-02,26888,832,60474,1527617999,13969,0,18927,7343,606,12
Company_C,2025-06-09,22339,711,49314,1264331913,12547,0,14855,6906,551,27
Company_C,2025-06-16,23064,885,50253,1268044526,13397,0,15191,7271,587,15
Company_C,2025-06-23,26559,1045,59186,1424027771,14598,0,18127,7794,636,2
Company_C,2025-06-30,31079,1154,67676,1689272630,16673,0,20624,9840,610,5
Company_C,2025-07-07,30779,1040,65895,1690065072,17022,0,20806,9333,633,7
Company_C,2025-07-14,25947,910,52938,1300666140,15216,0,17347,8110,482,8
Company_C,2025-07-21,27021,1047,54127,1328904272,15569,0,17680,8868,463,10
